fips,total_8_hour_outages,n_years_available,avg_customers_out,avg_customer_time_std,tot_po_yr
16067,0,2,199,0,2
16069,0,1,3027,0,6
16075,0,1,8261,1,5
16079,7,1,67412,9,59
16085,0,2,425,0,8
17001,0,3,44102,1,46
17011,1,3,15487,1,23
17013,3,3,15650,8,60
17015,3,3,47666,6,48
17017,2,2,6896,1,36
17021,0,1,618,0,3
17023,1,3,19683,2,60
17027,0,1,4285,0,18
17029,0,3,16059,1,20
17033,2,3,59400,6,84
17035,0,1,305,0,2
17045,0,3,12753,1,46
17049,2,1,17980,1,45
17057,2,3,27593,2,39
17061,1,3,12492,2,52
17065,0,3,144,0,3
17067,2,3,22870,3,38
17069,1,3,16522,10,75
17071,2,3,14530,4,46
17077,0,2,8641,0,24
17079,1,3,23958,5,83
17081,1,3,21623,1,33
17083,3,3,37697,4,122
17085,1,3,31083,3,50
17101,1,3,50956,7,66
17117,2,1,57504,3,63
17119,4,3,319178,2,65
17121,1,3,15592,1,28
17123,3,3,34610,6,80
17125,1,3,17661,2,56
17109,1,3,11508,1,19
17129,1,3,8263,1,39
17131,5,3,87004,11,94
17133,1,3,25809,2,32
17137,1,3,29175,2,54
17143,7,3,338863,4,95
17149,3,3,30902,4,77
17151,2,3,17500,9,72
17153,1,3,9218,4,24
17161,4,3,961110,13,71
17165,3,3,44666,4,55
17169,0,3,6954,2,47
17171,1,3,5244,2,38
17173,0,1,486,0,2
17187,2,3,21228,3,44
17189,1,3,5379,1,25
17191,0,1,476,0,2
17193,0,1,327,0,3
18003,4,1,307730,2,64
18011,1,1,40828,1,49
18013,10,2,133873,17,176
18019,7,2,371356,7,112
18021,6,1,63220,5,58
18025,5,3,73006,15,73
18029,2,3,99017,4,59
18031,2,3,51772,4,74
18033,1,3,23922,1,30
18037,1,3,23148,1,26
18039,3,2,163971,2,48
18041,3,2,33992,3,34
18043,5,2,313652,8,78
18047,1,3,15643,1,28
18051,6,1,101374,6,71
18055,7,3,89653,6,97
18057,3,3,389551,2,55
18061,6,3,140453,8,102
18063,2,3,129699,2,53
18069,0,1,31735,2,56
18071,4,2,84644,4,58
18073,1,3,29879,2,58
18077,3,3,156163,10,66
18079,3,3,77909,6,65
18083,2,3,206097,11,66
18085,3,3,109446,3,51
18087,3,3,44141,3,47
18089,6,3,1296922,5,93
18091,7,3,204188,4,89
18095,2,1,61284,1,42
18103,1,3,16608,1,40
18105,8,2,336495,5,90
18107,0,3,5729,0,14
18109,6,3,200815,6,94
18111,1,3,17736,3,38
18113,1,3,19656,1,32
18115,2,3,11994,4,41
18119,8,3,129451,12,146
18121,3,1,33993,5,63
18125,4,1,41800,7,76
18127,3,3,152556,2,38
18129,2,2,44192,3,91
18131,1,3,6202,1,34
18133,2,3,28312,2,43
18137,3,3,74501,5,74
18143,2,2,58382,5,61
18149,1,3,20060,2,49
18151,3,3,100486,5,110
18153,6,3,68716,7,101
18155,3,3,31510,6,78
18157,2,1,176803,2,48
18161,1,3,12942,4,38
18173,1,1,135565,4,67
18175,2,2,128176,10,73
